county_or_jail,african_american,white,hispanic,pacific_islander_or_asian,american_indian_ak,unknown,notes
Adams,136,470,451,11,1,0,
Alamosa,3,43,75,0,0,0,
Arapahoe,314,674,33,13,0,1,
Aurora Detention Center,21,17,2,1,0,0,
Archuleta,NULL,NULL,NULL,NULL,NULL,NULL,
Baca,0,4,2,0,0,0,
Bent,0,14,18,0,0,0,
Boulder,NA,NA,NA,NA,NA,NA,
Broomfield,3,69,20,1,1,0,
Chaffee,4,58,20,0,1,0,
Cheyenne,NULL,NULL,NULL,NULL,NULL,NULL,
Clear Creek,3,33,41,0,0,0,
Conejos,2,13,26,1,0,0,
Costilla,0,5,9,0,0,0,
Crowley,0,10,3,0,0,0,
Custer,0,8,6,0,0,0,
Delta,0,39,10,0,0,3,
Denver City Jail (DJC),414,576,365,13,15,7,
Denver County Jail (COJL),172,319,200,5,6,4,
Dolores,0,4,2,0,0,0,
Douglas,51,248,78,2,5,1,
Eagle,3,31,27,1,0,0,
Elbert,1,19,4,NA,1,NA,
El Paso,339,890,365,15,10,5,AA includes 14 that also identify as hispanic; Hispanic includes 9 people who did not identify their race; 1 AI also dentified as hispanic; 1 PI also dentified as hispanic.
Fremont,NA,NA,NA,NA,NA,NA,
Garfield,NA,NA,NA,NA,NA,NA,
Gilpin,4,36,14,0,0,0,
Grand,NA,NA,NA,NA,NA,NA,
Gunnison,NA,NA,NA,NA,NA,NA,
Hinsdale,NULL,NULL,NULL,NULL,NULL,NULL,
Huerfano,NA,NA,NA,NA,NA,NA,
Jackson,0,1,2,0,0,0,
Jefferson,91,948,274,9,9,14,
Kiowa,NULL,NULL,NULL,NULL,NULL,NULL,
Kit Carson,2,14,10,0,0,0,
Lake,0,8,14,0,0,0,
La Plata,10,120,35,1,44,1,"One inmate identified as ""Black; Hispanic"" I put (s)he in the Afircan American column."
Larimer,42,420,133,2,6,1,
Las Animas,NA,NA,NA,NA,NA,NA,
Lincoln,0,21,3,0,0,0,
Logan,NA,NA,NA,NA,NA,NA,
Mesa,32,389,96,5,4,0,1 PI identified as hispanic as well.
Mineral,NULL,NULL,NULL,NULL,NULL,NULL,
Moffat,3,38,8,0,0,0,
Montezuma,NA,NA,NA,NA,NA,NA,
Montrose,1,56,28,0,3,0,
Morgan,4,45,28,0,0,3,
Otero,NA,NA,NA,NA,NA,NA,
Ouray,NULL,NULL,NULL,NULL,NULL,NULL,
Park,13,63,42,2,2,NA,
Phillips,NULL,NULL,NULL,NULL,NULL,NULL,
Pitkin,0,15,0,0,0,0,
Prowers,0,2,0,0,0,0,
Pueblo,35.21,423.7,513.19,2,10,6,
Rio Blanco,NA,NA,NA,NA,NA,NA,
Rio Grande,0,11,28,0,1,0,
Routt,NA,NA,NA,NA,NA,NA,
Saguache,0,5,13,2,0,0,
San Juan,NULL,NULL,NULL,NULL,NULL,NULL,
San Miguel,1,3,1,0,1,3,
Sedgwick,0,3,3,0,0,0,
Summit,NA,NA,NA,NA,NA,NA,
Teller,10,74,NA,0,1,0,
Washington,NA,NA,NA,NA,NA,NA,
Weld,NA,NA,NA,NA,NA,NA,
Yuma,0,16,7,0,0,0,
